Year,Population,female,male
1970,2004,1002,1002
1971,1881,946,935
1972,1816,915,901
1973,1773,899,874
1974,1755,902,853
1975,1737,903,834
1976,1705,895,810
1977,1678,875,803
1978,1692,882,810
1979,1671,876,795
1980,1676,877,799
1981,1656,857,799
1982,1648,854,794
1983,1654,860,794
1984,1675,876,799
1985,1686,887,799
1986,1671,881,790
1987,1665,878,787
1988,1666,888,778
1989,1677,897,780
1990,1695,903,792
1991,1701,907,794
1992,1717,922,795
1993,1712,927,785
1994,1722,933,789
1995,1726,934,792
1996,1753,954,799
1997,1770,958,812
1998,1787,976,811
1999,1805,990,815
2000,1835,1007,828
2001,1840,1015,825
2002,1871,1040,831
2003,1911,1061,850
2004,1941,1078,863
2005,1974,1098,876
2006,1978,1096,882
2007,2013,1109,904
2008,2036,1124,912
2009,2055,1135,920
2010,2089,1154,935
2011,2113,1158,955
2012,2124,1162,962
2013,2157,1178,979
2014,2171,1185,986
2015,2203,1207,996
2016,2225,1225,1000
2017,2239,1243,996
2018,2275,1270,1005
2019,2317,1293,1024
2020,2353,1311,1042
2021,2391,1327,1064
2022,2414,1343,1071
